Vehicle,Idle Start,Idle End,Idle Duration (min)
	KDG 320Z,2025-08-26 00:06:43,2025-08-26 00:17:09,10.43
	KDG 320Z,2025-08-26 00:45:13,2025-08-26 01:03:02,17.82
	KDG 320Z,2025-08-26 01:04:03,2025-08-26 02:14:32,70.48
	KDG 320Z,2025-08-26 03:43:58,2025-08-26 03:50:46,6.8
	KDG 320Z,2025-08-26 03:56:50,2025-08-26 05:55:30,118.67
	KDG 320Z,2025-08-26 06:10:01,2025-08-26 06:22:19,12.3
	KDG 320Z,2025-08-26 06:50:20,2025-08-26 07:49:08,58.8
	KDG 320Z,2025-08-26 08:08:10,2025-08-26 08:16:56,8.77
	KDG 320Z,2025-08-26 08:35:15,2025-08-26 08:47:34,12.32
	KDG 320Z,2025-08-26 09:26:20,2025-08-26 09:32:24,6.07
	KDG 320Z,2025-08-26 10:04:22,2025-08-26 10:12:49,8.45
	KDG 320Z,2025-08-26 10:17:50,2025-08-26 10:25:18,7.47
	KDG 320Z,2025-08-26 10:46:52,2025-08-26 10:53:41,6.82
	KDG 320Z,2025-08-26 11:22:41,2025-08-26 11:34:07,11.43
	KDG 320Z,2025-08-26 11:42:38,2025-08-26 12:17:32,34.9
	KDG 320Z,2025-08-26 12:27:03,2025-08-26 12:52:48,25.75
	KDG 320Z,2025-08-26 13:06:08,2025-08-26 13:57:02,50.9
	KDG 320Z,2025-08-26 14:24:51,2025-08-26 14:32:13,7.37
	KDG 320Z,2025-08-26 14:44:47,2025-08-26 15:49:52,65.08
	KDG 320Z,2025-08-26 16:25:10,2025-08-26 16:47:03,21.88
	KDG 320Z,2025-08-26 16:52:33,2025-08-26 17:49:42,57.15
	KDG 320Z,2025-08-26 18:04:13,2025-08-26 18:14:07,9.9
	KDG 320Z,2025-08-26 18:25:09,2025-08-26 19:01:39,36.5
	KDG 320Z,2025-08-26 19:15:13,2025-08-26 19:32:46,17.55
	KDG 320Z,2025-08-26 19:38:17,2025-08-26 19:48:39,10.37
	KDG 320Z,2025-08-26 20:21:09,2025-08-26 20:27:16,6.12
	KDG 320Z,2025-08-26 20:36:40,2025-08-26 20:42:17,5.62
	KDG 320Z,2025-08-26 20:48:48,2025-08-26 20:53:50,5.03
	KDG 320Z,2025-08-26 21:09:21,2025-08-26 21:51:26,42.08
	KDG 320Z,2025-08-26 21:53:57,2025-08-26 22:02:24,8.45
	KDG 320Z,2025-08-26 22:02:54,2025-08-26 22:11:17,8.38
	KDG 320Z,2025-08-26 22:49:26,2025-08-26 23:05:58,16.53
